Date : 2022-12-15 13:38:28
Directory : /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend
Total : 180 files,  51702 codes, 2732 comments, 7921 blanks, all 62355 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/.eslintrc.js                                                 | JavaScript         |         25 |          0 |          1 |         26 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/README.md                                                    | Markdown           |         38 |          0 |         33 |         71 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/config-overrides.js                                          | JavaScript         |          8 |          0 |          0 |          8 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/package.json                                                 | JSON               |         87 |          0 |          1 |         88 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/animate.css                                       | CSS                |      3,055 |         11 |        558 |      3,624 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/boilerplate.css                                   | CSS                |        679 |         10 |        131 |        820 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/jquery.mCustomScrollbar.css                       | CSS                |        821 |        115 |        345 |      1,281 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/protip.min02.css                                  | CSS                |        709 |          0 |          1 |        710 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/smartswap-responsive.css                          | CSS                |      3,579 |         47 |        903 |      4,529 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/css/smartswap-style.css                               | CSS                |      1,845 |         54 |      1,446 |      3,345 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/fonts/icomoon.svg                                     | XML                |         23 |          0 |          0 |         23 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/index.html                                            | HTML               |        190 |         26 |          7 |        223 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/bs-collaps.js                                      | JavaScript         |        202 |         19 |         81 |        302 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/custom-selectbox.js                                | JavaScript         |        154 |          4 |         49 |        207 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/custom.js                                          | JavaScript         |         60 |          1 |          1 |         62 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/jquery.mCustomScrollbar.concat.min.js              | JavaScript         |          3 |          2 |          0 |          5 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/jquery.min.js                                      | JavaScript         |          3 |          2 |          1 |          6 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/protip.min.js                                      | JavaScript         |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/respond.min.js                                     | JavaScript         |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/js/wow.min.js                                         | JavaScript         |          1 |          2 |          0 |          3 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/manifest.json                                         | JSON               |         25 |          0 |          1 |         26 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_base.scss                                       | SCSS               |        274 |         26 |         97 |        397 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_buttons.scss                                    | SCSS               |         17 |          0 |          6 |         23 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_customselectbox.scss                            | SCSS               |         50 |          0 |         26 |         76 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_freeze-no-input.scss                            | SCSS               |        200 |          9 |         27 |        236 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_header.scss                                     | SCSS               |         30 |          0 |          2 |         32 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_loottableboxview.scss                           | SCSS               |        606 |         10 |         98 |        714 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_loottableclose.scss                             | SCSS               |        831 |         10 |        137 |        978 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_loottableopen.scss                              | SCSS               |        828 |         10 |        138 |        976 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_unfreeze-no-input.scss                          | SCSS               |        233 |         10 |         72 |        315 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_welcomepage.scss                                | SCSS               |         53 |          0 |         13 |         66 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/_youfrozenpopup.scss                             | SCSS               |         44 |          1 |         35 |         80 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/main.css                                         | CSS                |      3,505 |         67 |        537 |      4,109 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/public/sass/main.scss                                        | SCSS               |         11 |          0 |          0 |         11 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/README.md                                             | Markdown           |          5 |          0 |          2 |          7 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/nodemon.json                                          | JSON               |         12 |          0 |          0 |         12 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/package.json                                          | JSON               |         57 |          0 |          1 |         58 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/frozenTokenAbi.json                          | JSON               |        953 |          0 |          0 |        953 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/gateWayAbi.json                              | JSON               |        506 |          0 |          0 |        506 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/spContract.json                              | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/swapFactory.json                             | JSON               |      1,349 |          0 |          0 |      1,349 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/tokenAbi.json                                | JSON               |        768 |          0 |          0 |        768 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/BinanceCex.controller.ts       | TypeScript         |        980 |         30 |        151 |      1,161 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/MexcCex.controller.ts          | TypeScript         |      1,023 |         32 |        159 |      1,214 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/swapProvider.controller.ts     | TypeScript         |        700 |         33 |        120 |        853 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/MexcRequest.ts                     | TypeScript         |        600 |         34 |        102 |        736 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/axiosRequest.ts                    | TypeScript         |         34 |          0 |          7 |         41 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/helper.ts                          | TypeScript         |         19 |          0 |          3 |         22 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/interfaces/index.ts                        | TypeScript         |          0 |          1 |          1 |          2 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/bscBlock.json                     | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/bscListner.ts                     | TypeScript         |         43 |          0 |          6 |         49 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/ethBlock.json                     | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/ethListner.ts                     | TypeScript         |         48 |          5 |          8 |         61 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/middlewares/index.ts                       | TypeScript         |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/middlewares/validateRequests.ts            | TypeScript         |         22 |          0 |          4 |         26 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProvider.ts                     | TypeScript         |        234 |          0 |         10 |        244 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProviderMexcTest.ts             | TypeScript         |         88 |          0 |          4 |         92 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProviderTest.ts                 | TypeScript         |         88 |          0 |          4 |         92 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/order.ts                            | TypeScript         |        130 |          7 |         11 |        148 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/routes/routes.ts                           | TypeScript         |         14 |          2 |          7 |         23 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/taskScheduler/index.ts                     | TypeScript         |         81 |          7 |         16 |        104 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/validations/requestValidations.ts          | TypeScript         |        104 |          4 |         17 |        125 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/app.ts                                            | TypeScript         |         19 |          4 |          8 |         31 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/constants.ts                               | TypeScript         |         67 |          0 |          7 |         74 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/dbconnect.ts                               | TypeScript         |         12 |          0 |          3 |         15 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/index.ts                                   | TypeScript         |          3 |          0 |          0 |          3 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/logger.ts                                  | TypeScript         |          9 |          0 |          3 |         12 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/tsconfig.json                                         | JSON with Comments |         11 |         54 |          8 |         73 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/App.js                                                   | JavaScript         |         53 |          2 |          4 |         59 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/bridgeContract.json                                 | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/erc20TokenAbi.json                                  | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/expediteAbi.json                                    | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/frozenTokenAbi.json                                 | JSON               |        953 |          0 |          0 |        953 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/gateWayAbi.json                                     | JSON               |        506 |          0 |          0 |        506 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/reimbursementAbi.json                               | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/spContract.json                                     | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/swapFactory.json                                    | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/swapPairAbi.json                                    | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/tokenAbi.json                                       | JSON               |        768 |          0 |          0 |        768 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/tokenVaultAbi.json                                  | JSON               |          1 |          0 |          0 |          1 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/assets/AboutPopup.css                                    | CSS                |         83 |          0 |          1 |         84 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/assets/CloneFormPopup.css                                | CSS                |        373 |         25 |         68 |        466 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/CreateLicense.js                              | JavaScript         |        268 |         19 |         43 |        330 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Deposit-withdraw.js                           | JavaScript         |        222 |          7 |         41 |        270 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/DropDown.js                                   | JavaScript         |         13 |          0 |          1 |         14 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/HeadFreeListing.js                     | JavaScript         |        215 |         18 |         29 |        262 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/Header.js                              | JavaScript         |        282 |         23 |          8 |        313 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/Header03.js                            | JavaScript         |         56 |          1 |         18 |         75 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory.js                              | JavaScript         |         94 |        139 |          8 |        241 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/LedgerHistory.js                | JavaScript         |        192 |          2 |         27 |        221 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/OrderInformation.js             | JavaScript         |         51 |          0 |          8 |         59 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/status/FulfilledOrder.js        | JavaScript         |         56 |         60 |          8 |        124 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/status/PendingOrder.js          | JavaScript         |        212 |          7 |         24 |        243 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/ActiveContract.js           | JavaScript         |      1,239 |         30 |        125 |      1,394 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/LiquidityProvider.js        | JavaScript         |        101 |          1 |         14 |        116 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/SpContractDeployForm.js     | JavaScript         |      1,048 |         17 |         95 |      1,160 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/SpIntroduction.js           | JavaScript         |         41 |          0 |          1 |         42 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Navigations/RightSideMenu.js                  | JavaScript         |        256 |         37 |          6 |        299 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/RightSideMenu.js                              | JavaScript         |        255 |         37 |          5 |        297 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/SmartEcoSystemFeatures.js                     | JavaScript         |        237 |          0 |          1 |        238 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/AddCustomToken.js                | JavaScript         |        268 |          0 |         35 |        303 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/DeployerOwnershipIntroduction.js | JavaScript         |        200 |          0 |         15 |        215 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/DownloadValidatorFile.js         | JavaScript         |        223 |          0 |         25 |        248 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/FreeListing.js                   | JavaScript         |        590 |          8 |         76 |        674 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/ListWrappedTokens.js             | JavaScript         |        256 |          0 |         27 |        283 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SelectDestinationChains.js       | JavaScript         |        258 |          2 |         38 |        298 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SelectToken.js                   | JavaScript         |        435 |         19 |         48 |        502 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SetEmail.js                      | JavaScript         |        126 |          0 |         17 |        143 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SetupSuccessfully.js             | JavaScript         |        201 |          0 |         12 |        213 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/TransferDeployerOwnership.js     | JavaScript         |        342 |          1 |         41 |        384 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/VerifyAndAddToken.js             | JavaScript         |        198 |         43 |         24 |        265 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/Welcome.js                       | JavaScript         |        126 |          0 |         11 |        137 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/WrapTokenOnDestinationChain.js   | JavaScript         |        574 |         43 |         54 |        671 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/About.js                               | JavaScript         |        310 |         14 |         49 |        373 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/CefiToDefi.js                          | JavaScript         |         76 |          0 |         21 |         97 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/CoinPopup.js                           | JavaScript         |        129 |         12 |          7 |        148 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/HowItWorks.js                          | JavaScript         |        123 |          0 |         40 |        163 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/NoDomain.js                            | JavaScript         |         31 |          8 |          8 |         47 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/PeerPopup.js                           | JavaScript         |         61 |          0 |         30 |         91 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/SidePopup.js                           | JavaScript         |        126 |         37 |         20 |        183 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/WalletPopup.js                         | JavaScript         |        100 |          0 |          6 |        106 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/liquidity_fountain_for_SPs.js          | JavaScript         |         39 |          1 |         14 |         54 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/AskMeAnythingVideo.js                | JavaScript         |         29 |          0 |          1 |         30 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/CTAButtons.js                        | JavaScript         |         26 |          1 |          1 |         28 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/CTAButtons2.js                       | JavaScript         |         16 |          0 |          1 |         17 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/HeroSectionVideoOverlay.js           | JavaScript         |         20 |          0 |          1 |         21 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/LicensePartners.js                   | JavaScript         |         26 |          0 |          2 |         28 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/SmartEcoSystemFeatures.js            | JavaScript         |        237 |          0 |          1 |        238 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/SupportedBlockchainsCarousel.js      | JavaScript         |        156 |          1 |          4 |        161 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/TokenTokenomicsStats.js              | JavaScript         |        130 |          0 |          5 |        135 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/VenturePartners.js                   | JavaScript         |        267 |          0 |          3 |        270 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/SmartEcoSystemTabs.js                    | JavaScript         |        153 |          0 |         15 |        168 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/bridge-tokens/BridgeSwap.js              | JavaScript         |      1,146 |         44 |        166 |      1,356 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/bridge-tokens/CheckAuthenticityPopup.js  | JavaScript         |        132 |          0 |          6 |        138 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/bridge-tokens/DestinationTokensPopup.js  | JavaScript         |        425 |          9 |         29 |        463 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/bridge-tokens/SourceTokenPopup.js        | JavaScript         |        444 |         25 |         35 |        504 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/native-tokens/DagenSwap.js               | JavaScript         |        298 |        176 |         25 |        499 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/native-tokens/NativeSwap.js              | JavaScript         |        243 |          3 |         36 |        282 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/native-tokens/NativeSwapSuccess.js       | JavaScript         |         88 |         12 |          1 |        101 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/tabs/native-tokens/SmartSwap.js               | JavaScript         |        951 |         38 |        101 |      1,090 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/withdraw_token.js                             | JavaScript         |         53 |          1 |         18 |         72 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/config/constantConfig.js                                 | JavaScript         |        194 |        179 |         46 |        419 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/config/decimalConfig.js                                  | JavaScript         |         14 |          0 |          4 |         18 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/config/notificationConfig.js                             | JavaScript         |         48 |          0 |          7 |         55 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/config/web3Config.js                                     | JavaScript         |         81 |         23 |         28 |        132 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/constants.js                                             | JavaScript         |         82 |          3 |         20 |        105 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/context/WalletProvider.js                                | JavaScript         |        174 |          1 |         26 |        201 |
| /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/dispatcher.js                                            | JavaScript         |          2 |          0 |          2 |          4 |
